TITLE,NODE ID,impact_areas
Send Paola to Bike!Bike!,26778,"Safer streets,Public Health,Schools"
Save Farm School NYC!,17439,"food,Public Health,Social Justice,Neighbors working together,Environment"
Musicians United,8106,"Public Art,Neighbors working together"
CELEBRATE SI KAHN'S 70TH BIRTHDAY BY HELPING STOP THE PEBBLE MINE!,12752,"Public Health,Environment"
Building Community at the UM Campus Farm,9584,"food,Placemaking,Social Justice,Neighbors working together,Schools,Environment"
2014 Columbia Pike BluesFest,12826,"Public Art,Placemaking,Social Justice,Neighbors working together"
Asheville Tool Library,9583,"Social Justice,Sharing"
Junior Composter Course,354,"Social Justice,Schools,Environment"
"The Peaceful Gardeners Bioreactor : Waste to Energy, we can do this!!",736,"Social Justice,Environment"
Car-Free Astoria Water Walk on Shore Blvd,617,"Safer streets,Public Health,Public Art,Placemaking,TU,Social Justice,Neighbors working together,Environment"
Western Queens Compost Initiative,782,Environment
Astoria Park Shore Fest - Year 4,3244,"Safer streets,Public Health,Placemaking,TU,Social Justice,Neighbors working together,Environment"
Allergic to Salad- Cooking with Kids!,2317,"food,Public Health"
Allergic to Salad - Kids Get Cooking,3202,"food,Public Health,Social Justice"
Allergic to Salad Š—– Rolling up Sushi!,#N/A,"food,Public Health,Social Justice"
Allergic to Salad- Thai-licious!,5601,"food,Public Health,Social Justice"
Allergic to Salad- Chef-led Cooking Classes x2,5600,"food,Public Health,Social Justice"
Allergic to Salad Š—– 2 Chef-Led Cooking Classes,#N/A,"food,Public Health,Social Justice"
Allergic to Salad - Chef-Led 2 Class Series,8720,"food,Social Justice,Schools"
2 Chef-Led Kids Cooking Classes,#N/A,"food,Public Health,Social Justice,Schools"
Support Car-Free Programming at the Astoria Park Shore Fest!,641,"Safer streets,Placemaking,Social Justice,Neighbors working together,Environment"
Shore Fest 2013,8738,"Safer streets,Public Health,Public Art,Placemaking,TU,Social Justice,Neighbors working together"
MARTA Bikes,15928,"Safer streets,Placemaking,Environment"
Fertile Crescent 2013 Summer Retreat of Food Commons Atlanta,9687,"food,Placemaking,Social Justice,Neighbors working together,Sharing,Environment"
A TASTE OF HOME,18265,"food,Public Health,Placemaking,Social Justice,Neighbors working together,Schools,Environment"
Eagle Project: Removing Tamarisk from the San Gabriel River,5731,"Social Justice,Environment"
The Lake County Historical Society Museum & Welcome Center,17207,"Placemaking,Neighbors working together,Environment"
Lake County Historical Society Museum House Š—– Urgent Roof Repair Needed!,#N/A,
Fight for Drivers Licenses Training Drive,17153,"Social Justice,Neighbors working together,Environment"
Fort McHenry Field Day,7887,"food,Placemaking,Social Justice,Neighbors working together,Environment,Citizen Science"
Lovely Little Storage Shed,694,"food,Public Health,Placemaking,Social Justice,Environment"
Bellerose Beautification Project,609,"Placemaking,Social Justice,Environment"
Kansas Avenue Youth Learning Garden,13905,"food,Public Health,Placemaking,Social Justice,Neighbors working together,Schools,Environment"
Clean Up NYC's Beach Day,229,Environment
Jamaica Bay Lives,3258,"Public Art,Social Justice,Environment"
American Littoral Society's Operation Milkweed: Save the Monarch!,12643,"Schools,Environment"
Soundview Park Bikesplorations,744,"Safer streets,Public Health,Social Justice,Schools"
"Learn it, Grow it, Eat it - Community garden shade structure reconstruction",607,"food,Public Health,Social Justice,Schools,Environment"
Bring Clean Soil and Safety to La Finca del Sur,287,"food,Public Health,Social Justice,Neighbors working together,Schools,Citizen Science"
The Garden of Social Awareness indoor garden,642,"food,Social Justice,Environment"
Garden of Life and Health FarmerŠ—Ès Market,#N/A,"food,Schools,Environment"
Melrose New Generation Community Garden FarmerŠ—Ès Market,#N/A,"food,Safer streets,TU,Sharing,Environment,Citizen Science"
"""MARCHING TO THE BEET"" Garden Beautification & Performance Art Project",3139,"food,Public Health,Public Art,Social Justice,Schools,Environment"
Prenatal Yoga en el Bronx!,7987,"Public Health,Social Justice,Neighbors working together,Environment"
Bronx Boogie Down Booths,15877,"Public Art,Placemaking,Social Justice,Neighbors working together,Environment"
Kids for Compost!,690,"food,Social Justice,Schools,Environment"
Urban Community Food (and Fitness) Project,13102,"food,Public Health,Social Justice,Neighbors working together,Environment"
Womyn of Color and LGBTQ Healing Arts Collective,7650,"Public Art,Placemaking,Social Justice,Neighbors working together,Sharing"
Dred Scott Bird Sanctuary,1546,"Placemaking,Social Justice,Neighbors working together,Environment"
The Bronx Wellness Center,5597,"Public Health,Social Justice"
Bronx Greenhouse at Intervale Green,3134,"food,Social Justice,Environment"
Ginger Moon Healing Foods for the Childbearing Year,5530,"Public Health,Social Justice"
Van Cortlandt Park Beautification and Clean-up Project,5560,Placemaking
Mina's House,12769,"food,Public Health,Social Justice,Neighbors working together,Environment"
Revamp of Friends' Garden & Compost Site,17435,"food,Public Health,Placemaking,Neighbors working together,Environment"
River Garden Tree Pit Project,288,
Concrete Green,2225,"food,Public Health,Social Justice,Schools,Environment"
The James Baldwin Memorial Outdoor Learning Center at the Clinton Garden,10538,"Social Justice,Schools,Environment"
All Summer Butterflies,3263,"Placemaking,Social Justice,Environment"
